ID,Name,Satellite Type,Characteristic Length [m],A/M [m^2/kg],Area [m^2],Mass [kg],Ejection Velocity [m/s],Velocity [m/s],Position [m]
25785,Fengyun 1C-Collision-Fragment,DEBRIS,0.05801722512862145,0.02153182880975378,0.0018497175331061639,0.08590619726032067,[21.535309202752835 -4.660880666998827 28.607672951738117],[21.535309202752835 -4.660880666998827 28.607672951738117],[0 0 0]
25786,Fengyun 1C-Collision-Fragment,DEBRIS,1.0745934857787776,0.062238578110506114,0.643350739956655,10.33684829390495,[-21.107664837220064 8.746995794938945 -41.924343172481386],[-21.107664837220064 8.746995794938945 -41.924343172481386],[0 0 0]
25787,Fengyun 1C-Collision-Fragment,DEBRIS,0.2604620953530435,0.07505477117668947,0.03754489291524153,0.5002332606791323,[30.63768130616971 35.90276685057054 -9.57077523875711],[30.63768130616971 35.90276685057054 -9.57077523875711],[0 0 0]
25788,Fengyun 1C-Collision-Fragment,DEBRIS,0.06254473709020301,0.20971329955126508,0.0021504367793290214,0.010254174551306129,[-261.54158423900196 51.561415526582714 158.85743361707486],[-261.54158423900196 51.561415526582714 158.85743361707486],[0 0 0]
25789,Fengyun 1C-Collision-Fragment,DEBRIS,0.18154011270689638,0.029201283534140886,0.01820828222219018,0.6235439000789755,[1.0320055300794426 -21.01189078287011 -1.0783490289459363],[1.0320055300794426 -21.01189078287011 -1.0783490289459363],[0 0 0]
25790,Fengyun 1C-Collision-Fragment,DEBRIS,0.05672197531732181,0.012095191620554297,0.0017678606848086315,0.14616227177454294,[19.489150477406945 -14.447140741233142 -14.01851215799432],[19.489150477406945 -14.447140741233142 -14.01851215799432],[0 0 0]
25791,Fengyun 1C-Collision-Fragment,DEBRIS,0.053794650308405245,0.22735708885097947,0.0015897000477266305,0.006992084811433325,[-31.281200219434744 -13.518618935514716 125.38701319762768],[-31.281200219434744 -13.518618935514716 125.38701319762768],[0 0 0]
25792,Fengyun 1C-Collision-Fragment,DEBRIS,0.1058499767824218,0.1499415190054407,0.006174508322144715,0.04117944357973771,[97.97832984473801 79.33203149024598 195.8314120659946],[97.97832984473801 79.33203149024598 195.8314120659946],[0 0 0]
25793,Fengyun 1C-Collision-Fragment,DEBRIS,0.08721961031765181,0.26680670254006644,0.004188449876483007,0.015698443242272094,[-18.910213085235224 27.39601057209716 -18.007435742407484],[-18.910213085235224 27.39601057209716 -18.007435742407484],[0 0 0]
25794,Fengyun 1C-Collision-Fragment,DEBRIS,0.13264374885294375,0.04852601344182287,0.009706345750761946,0.20002355566254668,[17.28466610305111 -6.84226090416221 11.402527033815288],[17.28466610305111 -6.84226090416221 11.402527033815288],[0 0 0]
25795,Fengyun 1C-Collision-Fragment,DEBRIS,0.06952800894936129,0.07652784298629656,0.002658772209342667,0.03474254736042619,[-12.694634740426864 -7.559001100926478 8.604630348524735],[-12.694634740426864 -7.559001100926478 8.604630348524735],[0 0 0]
25796,Fengyun 1C-Collision-Fragment,DEBRIS,0.08281306537739141,0.15613370215098338,0.0037749983370329583,0.02417798518210043,[109.93568802565686 12.051750479183834 -24.978946951297587],[109.93568802565686 12.051750479183834 -24.978946951297587],[0 0 0]
25797,Fengyun 1C-Collision-Fragment,DEBRIS,0.0945251038454066,0.03191143797615362,0.004921345087572076,0.15421884439208405,[8.636137032267532 9.41934626722776 -57.21746127925723],[8.636137032267532 9.41934626722776 -57.21746127925723],[0 0 0]
25798,Fengyun 1C-Collision-Fragment,DEBRIS,0.29582083252848285,0.13599907034539735,0.048459572816771955,0.35632282407298077,[-12.700549671285263 -33.407731213373374 -370.4322339236707],[-12.700549671285263 -33.407731213373374 -370.4322339236707],[0 0 0]
25799,Fengyun 1C-Collision-Fragment,DEBRIS,0.14601844864707708,0.0918361122710227,0.01176776675303342,0.12813877310381894,[75.61251773277962 158.54266651819393 88.49146148272504],[75.61251773277962 158.54266651819393 88.49146148272504],[0 0 0]
25800,Fengyun 1C-Collision-Fragment,DEBRIS,0.06644080540839524,0.46819486416641243,0.002427383876876541,0.005184558957515104,[-306.9395577061629 -415.4086166480376 1229.3562106359998],[-306.9395577061629 -415.4086166480376 1229.3562106359998],[0 0 0]
25801,Fengyun 1C-Collision-Fragment,DEBRIS,0.12718066025367164,0.062438368544770174,0.008921509515932081,0.14288505167355697,[-21.281000344516627 38.684811974406024 -100.99207258796866],[-21.281000344516627 38.684811974406024 -100.99207258796866],[0 0 0]
25802,Fengyun 1C-Collision-Fragment,DEBRIS,0.07447191696958178,0.057691215366728575,0.0030513150761584495,0.052890462729238856,[43.860447406219 85.70258069248548 82.97188786157955],[43.860447406219 85.70258069248548 82.97188786157955],[0 0 0]
25803,Fengyun 1C-Collision-Fragment,DEBRIS,0.061556338047697626,0.10497598695651861,0.0020828506053157344,0.019841210030046755,[-40.38029302377206 313.2735972149692 237.31041048867903],[-40.38029302377206 313.2735972149692 237.31041048867903],[0 0 0]
