ID,Name,Satellite Type,Characteristic Length [m],A/M [m^2/kg],Area [m^2],Mass [kg],Ejection Velocity [m/s],Velocity [m/s],Position [m],Semi-Major-Axis [m],Eccentricity,Inclination [rad],Longitude of the ascending node [rad],Argument of periapsis [rad],Mean Anomaly [rad]
24972,IRIDIUM 33-Collision-Fragment,DEBRIS,0.0547567691065374,0.39921548749830127,0.0016472096690846013,0.0041261166479459556,[-50.405744502554526 196.87745616044066 -1.2845148925397685],[-266.7446491060771 615.1234865548438 7447.524917008605],[6508917.055099439 2974483.386663436 14901.218633767334],7184310.993053857,0.0054505929300733644,1.481029135915537,0.4284607823773899,5.50481297393606,0.7766352864130744
24973,IRIDIUM 33-Collision-Fragment,DEBRIS,0.09176363887251292,0.20510708332052996,0.004637352701540029,0.022609422485390385,[174.78695096889572 379.65464902343746 -168.75017290689544],[-41.55195363462684 797.9006794178406 7280.05925899425],[6508917.055099439 2974483.386663436 14901.218633767334],6901025.969837217,0.05609740200291929,1.4690825519704993,0.42843567708203995,3.952760614618119,2.291094210540627
24974,IRIDIUM 33-Collision-Fragment,DEBRIS,0.057528370103147826,0.0034808593987166146,0.00181860485312701,0.5224585784181704,[1.4353332083770336 2.0303385994682537 2.8136204110074265],[-214.90357139514552 420.2763689938715 7451.623052312153],[6508917.055099439 2974483.386663436 14901.218633767334],7162924.352748114,0.0011537427264663525,1.507595945473471,0.42851642886299035,0.659682166287695,5.626294400502319
24975,IRIDIUM 33-Collision-Fragment,DEBRIS,0.13668381919411512,0.16232434193186032,0.010308078930803724,0.06350297686794748,[14.438846595320763 8.594917502990283 20.791341038010998],[-201.9000580082018 426.84094789739345 7469.600772939156],[6508917.055099439 2974483.386663436 14901.218633767334],7197638.781158471,0.005866310400877317,1.507671940864852,0.42851658773608675,6.069837296203704,0.21418391715267693
24976,IRIDIUM 33-Collision-Fragment,DEBRIS,0.13379987678763264,0.06851672943809921,0.009876688389906733,0.1441500268752573,[50.27373066281299 -25.720204218822783 4.627582257347933],[-166.06517394070957 392.5258261755804 7453.437014158493],[6508917.055099439 2974483.386663436 14901.218633767334],7161106.734871909,0.00375921230588258,1.5136984585515594,0.4285291818409626,4.887271261795684,1.3942976325651377
24977,IRIDIUM 33-Collision-Fragment,DEBRIS,0.06954742359526064,0.27678020550940796,0.0026602607571473923,0.009611455964675076,[-79.94220127747157 262.5042340810859 -13.005036175406321],[-296.2811058809941 680.7502644754891 7435.804395725739],[6508917.055099439 2974483.386663436 14901.218633767334],7174900.8727329355,0.0046558436384467605,1.4712966679874042,0.42844033437052514,5.298280398894278,0.9831177319526425
24978,IRIDIUM 33-Collision-Fragment,DEBRIS,0.053676555712890935,0.13043816601121794,0.0015827116442174202,0.012133807861736602,[233.28781861547048 -62.62277680136941 188.09798116054358],[16.94891401194792 355.6232535930338 7636.907413061689],[6508917.055099439 2974483.386663436 14901.218633767334],7528132.597786512,0.05464610770074995,1.5293871573571574,0.4285619294216552,5.818713944278948,0.4425440640973463
24979,IRIDIUM 33-Collision-Fragment,DEBRIS,0.17411891596147944,0.04700714364026356,0.01674674275362198,0.35625952688768997,[45.99640054169606 -30.335152850815476 -105.34484003276428],[-170.3425040618265 387.91087754358773 7343.464591868381],[6508917.055099439 2974483.386663436 14901.218633767334],6957438.56655518,0.02874420852839927,1.5131737684071387,0.4285280857112449,3.2430403443783806,3.0393372954274307
24980,IRIDIUM 33-Collision-Fragment,DEBRIS,0.08582973015304685,0.16334397863418948,0.004055717437861468,0.024829304831274428,[-148.759659077672 -126.15262244757054 -879.3070315372389],[-365.0985636811946 292.09340794683266 6569.502400363906],[6508917.055099439 2974483.386663436 14901.218633767334],5860026.191735872,0.22313437006102574,1.507347181336559,0.4285159087953778,3.0391489610986917,3.272685411292734
24981,IRIDIUM 33-Collision-Fragment,DEBRIS,0.050798918158613926,0.04692823457804671,0.001417192310620492,0.030199139672802917,[30.82143377410841 -2.7308388971913637 6.755137163159737],[-185.51747082941415 415.51519149721184 7455.564569064305],[6508917.055099439 2974483.386663436 14901.218633767334],7168464.941538037,0.0031072234180305382,1.5098393809247732,0.42852111826909367,5.285341694885353,0.9973173847753813
24982,IRIDIUM 33-Collision-Fragment,DEBRIS,0.3927893329260932,0.1394310397725457,0.08555021494054137,0.6135664991102391,[-45.67034819015094 84.13118902345096 -6.397900506985014],[-262.0092527936735 502.3772194178541 7442.41153139416],[6508917.055099439 2974483.386663436 14901.218633767334],7157910.2967558205,0.0018877062808986234,1.4949153770572448,0.4284898965038788,1.461262381224833,4.825886927519914
24983,IRIDIUM 33-Collision-Fragment,DEBRIS,0.06352972117171078,0.028324292984888377,0.0022188655249577686,0.07833789624127888,[-57.23045020572086 279.40103042180544 55.15764928658976],[-273.5693548092434 697.6470608162086 7503.967081187735],[6508917.055099439 2974483.386663436 14901.218633767334],7310261.597249966,0.022355398023634423,1.4714115595207469,0.42844057598285795,5.934255735347496,0.34341399228423675
24984,IRIDIUM 33-Collision-Fragment,DEBRIS,0.09116157619179686,0.14458618822625682,0.004576559011536673,0.031652809080041644,[661.0438827807938 675.2905622867484 722.6489572476995],[444.7049781772712 1093.5365926811514 8171.458389148845],[6508917.055099439 2974483.386663436 14901.218633767334],9220265.001063822,0.2465741532756236,1.4720006099000802,0.42844181464560865,5.734148512642817,0.43276621401187
24985,IRIDIUM 33-Collision-Fragment,DEBRIS,0.06700583816662697,0.5689396432913957,0.002468944276263687,0.004339553949836397,[-153.34136517081043 143.8750598099576 81.29794232973481],[-369.680269774333 562.1210902043608 7530.10737423088],[6508917.055099439 2974483.386663436 14901.218633767334],7348548.324268291,0.028564432149786555,1.4827257629000423,0.42846434323110055,0.4278040673355014,5.869118596035008
24986,IRIDIUM 33-Collision-Fragment,DEBRIS,0.10093564715534394,0.2552165871224915,0.0056132294331249005,0.02199398360589637,[790.700232260131 -397.2291910554327 -198.63210615221234],[574.3613276566084 21.0168393389705 7250.177325748933],[6508917.055099439 2974483.386663436 14901.218633767334],6813470.488388799,0.09032892656826798,1.6010824053492767,0.42871128424184557,4.050222143247685,2.1617649253188342
24987,IRIDIUM 33-Collision-Fragment,DEBRIS,0.05506285203066754,0.31796945709204844,0.0016657202082029476,0.005238617015095073,[-53.82020861877819 102.8616713555866 -58.921614334655224],[-270.15911322230073 521.1077017499898 7389.88781756649],[6508917.055099439 2974483.386663436 14901.218633767334],7062093.991374112,0.013478938284616765,1.4916311681280123,0.4284830167457897,3.0076316596251758,3.279482946599097
24988,IRIDIUM 33-Collision-Fragment,DEBRIS,0.22128439385655357,0.04126072698845737,0.02707884315463945,0.6562861377167377,[4.445533042850665 3.0487369223465115 14.721298235316171],[-211.8933715606719 421.2947673167497 7463.530730136461],[6508917.055099439 2974483.386663436 14901.218633767334],7185803.279077743,0.0041040264205852075,1.5077398134721158,0.42851672962670734,0.07000931180557772,6.215540347193042
24989,IRIDIUM 33-Collision-Fragment,DEBRIS,0.055547961166566656,0.02832890973258353,0.0016952698176082525,0.05984239540494479,[12.077068016911713 6.518258574008244 -18.022710964986018],[-204.26183658661085 424.76428896841145 7430.786720936159],[6508917.055099439 2974483.386663436 14901.218633767334],7123145.368142881,0.0047404021156050675,1.5074647388605886,0.4285161545638003,3.3205789552281,2.963856599414894
24990,IRIDIUM 33-Collision-Fragment,DEBRIS,0.06270960286643354,0.2059882348506801,0.002161815467277997,0.010494849226923503,[-101.42101465502411 154.99281151914766 -35.464378496185184],[-317.7599192585467 573.2388419135509 7413.34505340496],[6508917.055099439 2974483.386663436 14901.218633767334],7116598.343690379,0.007332255615659728,1.4828795310412937,0.4284646659041918,2.44460487286974,3.8454024670445617
24991,IRIDIUM 33-Collision-Fragment,DEBRIS,0.08245363615513865,0.8796447310000594,0.0037422239627813536,0.004254244731878126,[967.885477540876 3585.8035229436823 7307.296750427712],[751.5465729373534 4004.0495533380854 14756.106182328858],[6508917.055099439 2974483.386663436 14901.218633767334],3242164.947196031,3.172140687513149,1.3488110237156896,0.428178231999031,6.080310637432469,0.14817237228299737
24992,IRIDIUM 33-Collision-Fragment,DEBRIS,0.12306707800337958,0.08561865268625811,0.00835242815766243,0.09755383780995895,[-24.734332388827237 -13.050288863918244 -41.90416502484913],[-241.0732369923498 405.19574153048495 7406.905266876296],[6508917.055099439 2974483.386663436 14901.218633767334],7078342.478690417,0.012013508609853889,1.507597702737822,0.4285164325366784,2.7398879464849424,3.5501303330252236
24993,IRIDIUM 33-Collision-Fragment,DEBRIS,0.05424862187816768,0.28989585660460593,0.0016167080879567182,0.005576858210021866,[228.55928739135655 -383.1931701041899 -29.379454979779446],[12.220382787833984 35.05286029021329 7419.429976921366],[6508917.055099439 2974483.386663436 14901.218633767334],7073917.401439085,0.012908242572418049,1.5671838727808385,0.42864068027587954,3.5820538724345026,2.697702062548091
24994,IRIDIUM 33-Collision-Fragment,DEBRIS,0.07473974153912358,0.10994955243041431,0.00307335346791559,0.027952396348868057,[20.729950538502873 0.5681178739593851 1.4083980736773143],[-195.6089540650197 418.8141482683626 7450.217829974823],[6508917.055099439 2974483.386663436 14901.218633767334],7159053.543503282,0.00160838835419541,1.5088337875522726,0.4285190164599728,4.947237635237927,1.3364691803645592
